"S.No","Company","Ticker","Date","Call","1-Day Change Recommendation","1-Week Change Recommendation","1-Month Change Recommendation","1-Year Change Recommendation","1-Day Change Benchmark","1-Week Change Benchmark","1-Month Change Benchmark","1-Year Change Benchmark"
212,"Canopy Growth ","CGC","16/10/2019","Negative Mention","0.0%","4.3%","-31.5%","-14%","-0.1%","0.4%","4%","18%"
213,"DraftKings ","DKNG","19/1/2021","Buy","-1.4%","2.0%","14.5%","-61%","0.7%","-2.5%","2%","18%"
214,"Intel ","INTC","23/1/2020","Negative Mention","2.9%","-6.6%","-9.4%","-17%","-1.1%","-2.1%","-2%","19%"
215,"International Flavors and ","IFF","6/11/2020","Buy","-1.5%","2.1%","2.3%","33%","-2.6%","2.3%","4%","34%"
216,"Li-Cycle 0ings ","LICY","11/1/2022","Sell","1.0%","-14.6%","-23.9%",,"-0.1%","-4.1%","-6%","0%"
217,"Matterport ","MTTR","22/12/2021","Buy","-4.8%","-6.0%","-55.0%","-89%","0.4%","1.2%","-7%","-17%"
218,"Wheels Up ","UP","13/9/2021","Buy","-3.1%","-4.1%","-4.3%","-78%","-0.9%","-2.1%","0%","-10%"
219,"fuboTV ","FUBO","20/1/2021","Negative Mention","12.1%","12.3%","15.0%","-71%","-0.1%","-1.7%","1%","16%"
220,"Wynn Resorts ","WYNN","27/4/2020","Positive Mention","-5.5%","-3.0%","1.3%","59%","-1.8%","0.2%","6%","48%"
221,"Zebra Technologies ","ZBRA","12/11/2018","Buy","-2.7%","-5.1%","-0.8%","37%","-1.4%","-1.9%","-4%","17%"
222,"Zebra Technologies ","ZBRA","13/11/2018","Buy","-2.7%","-5.1%","-0.8%","37%","-1.4%","-1.9%","-4%","17%"
223,"Tortoise Acquisition ","SHLL","14/9/2020","Sell","4.5%","1.4%","-40.5%","-82%","-0.3%","-2.5%","3%","34%"
224,"Qorvo ","QRVO","29/7/2020","Buy","6.2%","5.1%","-0.3%","47%","0.6%","3.2%","8%","37%"
225,"Rite Aid ","RAD","14/7/2016","Negative Mention","-2.5%","-5.1%","5.8%","-68%","-0.4%","0.7%","2%","16%"
226,"Affirm ","AFRM","6/12/2021","Buy","5.3%","-13.8%","-33.9%","-91%","0.8%","-1.1%","0%","-15%"
227,"Live Nation ","LYV","27/4/2020","Sell","-1.1%","-7.8%","12.3%","89%","-1.8%","0.2%","6%","48%"
228,"Wynn Resorts ","WYNN","22/12/2021","Buy","-1.5%","-3.1%","-4.6%","-9%","0.4%","1.2%","-7%","-17%"
229,"Chewy ","CHWY","27/3/2020","Buy","0.1%","-12.6%","21.5%","108%","2.3%","1.2%","10%","54%"
230,"Tutor Perini ","TPC","6/4/2022","Buy","-1.5%","2.2%","-6.1%",,"0.7%","-2.4%","-11%","0%"
231,"Plug Power ","PLUG","9/8/2021","Buy","-1.7%","-11.1%","-13.2%","-1%","0.0%","0.3%","1%","-4%"
232,"Emergent BioSolutions ","EBS","8/1/2021","Buy","-3.1%","8.1%","24.8%","-49%","0.2%","0.0%","3%","25%"
233,"Inovio Pharmaceuticals ","INO","8/6/2017","Buy","-5.8%","-3.2%","-4.7%","-45%","-0.3%","0.2%","0%","17%"
234,"Occidental Petroleum ","OXY","12/2/2021","Positive Mention","-0.8%","0.0%","10.8%","56%","-0.4%","-1.3%","1%","13%"
235,"Five Below ","FIVE","30/11/2018","Buy","0.2%","-7.7%","-7.2%","9%","-0.3%","-5.5%","-10%","14%"
236,"Tapestry ","TPR","27/4/2020","Sell","2.0%","-8.3%","-13.2%","195%","-1.8%","0.2%","6%","48%"
237,"Lam Research ","LRCX","16/10/2018","Positive Mention","-3.5%","-5.3%","0.6%","64%","0.0%","-5.4%","-2%","9%"
238,"Penn National Gaming ","PENN","4/11/2020","Buy","4.3%","-3.9%","10.6%","-6%","0.3%","0.8%","5%","36%"
239,"Raytheon Technologies ","RTX","11/6/2020","Buy","-0.9%","-0.7%","-9.2%","39%","-1.3%","1.9%","4%","42%"
240,"Western Digital ","WDC","24/1/2017","Buy","0.3%","-1.1%","-6.7%","13%","0.4%","-0.8%","3%","26%"
241,"IronNet ","IRNT","13/9/2021","Sell","14.6%","32.8%","-53.4%","-91%","-0.9%","-2.1%","0%","-10%"
242,"AbbVie ","ABBV","1/11/2018","Negative Mention","-5.5%","11.6%","17.7%","10%","-1.0%","2.2%","3%","15%"
243,"Cirrus Logic ","CRUS","1/8/2017","Positive Mention","-4.3%","-10.2%","-7.2%","-37%","0.0%","-0.1%","0%","16%"
244,"Cerus ","CERS","11/5/2020","Buy","-2.4%","-5.2%","0.2%","0%","-2.4%","1.8%","5%","44%"
245,"Coterra Energy ","CTRA","1/3/2022","Buy","0.4%","-0.2%","6.2%",,"1.3%","-2.4%","4%","0%"
246,"Logitech International ","LOGI","22/1/2019","Buy","1.3%","1.2%","4.6%","37%","-0.2%","1.6%","6%","28%"
247,"Bed Bath & Beyond ","BBBY","25/6/2021","Buy","1.0%","-1.2%","-2.7%","-78%","0.1%","1.3%","3%","-8%"
248,"Tesla ","TSLA","7/1/2021","Buy","2.8%","-6.1%","-1.9%","20%","0.2%","-1.5%","2%","24%"
249,"Zynex ","ZYXI","30/6/2021","Buy","2.5%","-10.4%","-11.9%","-46%","0.4%","0.1%","2%","-10%"
250,"Inovio Pharmaceuticals ","INO","27/4/2020","Buy","-4.3%","-22.6%","-2.9%","-49%","-1.8%","0.2%","6%","48%"
251,"LinkedIn ","LNKD","28/4/2016","Positive Mention","-2.9%","-2.8%","8.9%",,"-0.2%","-0.3%","2%","0%"
252,"Zillow ","Z","3/11/2021","Sell","-1.7%","-5.7%","-9.8%","-52%","0.3%","-0.7%","-2%","-18%"
253,"At Home Group ","HOME","22/8/2016","Buy","3.9%","-4.3%","-10.1%","39%","-0.1%","-0.4%","0%","14%"
254,"Micron Technology ","MU","12/11/2018","Negative Mention","-1.5%","-4.3%","-10.1%","23%","-1.4%","-1.9%","-4%","17%"
255,"Micron Technology ","MU","13/11/2018","Negative Mention","-1.5%","-4.3%","-10.1%","23%","-1.4%","-1.9%","-4%","17%"
256,"GrowGeneration ","GRWG","19/3/2021","Buy","-3.9%","-24.5%","-17.8%","-83%","0.7%","0.8%","6%","15%"
257,"Panera Bread ","PNRA","25/10/2016","Positive Mention","-6.3%","0.8%","13.6%",,"0.2%","-1.9%","4%","22%"
258,"TJX Companies ","TJX","16/11/2018","Positive Mention","-4.6%","-5.8%","-9.4%","24%","-1.4%","-0.6%","-5%","18%"
259,"Weber ","WEBR","15/9/2021","Buy","-1.0%","1.0%","9.7%","-58%","0.0%","-0.6%","0%","-12%"
260,"CEL-SCI ","CVM","4/3/2021","Buy","1.1%","5.3%","-11.8%","-75%","0.8%","2.7%","6%","11%"
261,"Digital Turbine ","APPS","25/1/2022","Sell","-6.6%","13.0%","23.6%",,"-1.7%","5.5%","1%","0%"
262,"NVIDIA ","NVDA","8/11/2021","Buy","-5.0%","-1.5%","-0.5%","-55%","-0.4%","0.4%","0%","-19%"
263,"Best +2 ","BBY","15/5/2020","Positive Mention","5.8%","-8.8%","-7.6%","41%","0.7%","1.4%","4%","43%"
264,"Owens & Minor ","OMI","11/8/2020","Buy","3.9%","5.8%","-2.7%","145%","0.6%","-0.1%","-1%","34%"
265,"Beyond Meat ","BYND","6/11/2020","Buy","-8.4%","-15.5%","-9.0%","-35%","-2.6%","2.3%","4%","34%"
266,"Nordstrom ","JWN","27/4/2020","Sell","-2.9%","-15.9%","-12.1%","85%","-1.8%","0.2%","6%","48%"
267,"Veritone ","VERI","25/9/2017","Negative Mention","7.3%","-29.2%","-43.3%","-84%","-0.1%","1.5%","3%","19%"
268,"Zoom Video Communications ","ZM","23/4/2020","Buy","-10.4%","-12.7%","3.3%","112%","0.8%","-0.1%","6%","50%"
269,"Block ","SQ","2/7/2020","Buy","0.2%","7.6%","13.3%","107%","0.2%","0.2%","4%","39%"
270,"Origin Materials ","ORGN","17/12/2021","Buy","-1.7%","8.3%","-6.3%","-18%","0.1%","4.9%","0%","-15%"
271,"Affirm ","AFRM","28/9/2021","Buy","-6.0%","18.6%","44.1%","-83%","-0.2%","0.1%","6%","-15%"
272,"Gap ","GPS","27/4/2020","Sell","5.5%","-13.5%","11.4%","301%","-1.8%","0.2%","6%","48%"
273,"Zoom Video Communications ","ZM","7/6/2019","Buy","3.5%","-3.8%","-11.0%","106%","-0.1%","0.1%","3%","14%"
274,"Inovio Pharmaceuticals ","INO","23/4/2020","Buy","15.8%","-29.5%","-0.9%","-52%","0.8%","-0.1%","6%","50%"
275,"Deere & Company ","DE","15/5/2020","Negative Mention","4.5%","7.3%","12.7%","182%","0.7%","1.4%","4%","43%"
276,"Marvell Technology ","MRVL","1/11/2019","Buy","1.8%","0.6%","-3.7%","39%","-0.2%","0.3%","1%","10%"
277,"Costco ","COST","28/2/2020","Buy","5.0%","-2.3%","-5.8%","11%","3.6%","-11.3%","-15%","28%"
278,"Crocs ","CROX","9/11/2018","Buy","-4.0%","4.8%","-0.1%","39%","-1.7%","-1.3%","-3%","15%"
279,"McDonald's ","MCD","6/11/2020","Buy","-6.0%","1.6%","-1.4%","21%","-2.6%","2.3%","4%","34%"
280,"Micron Technology ","MU","12/3/2018","Buy","-4.4%","2.9%","-11.5%","-35%","-1.1%","-1.7%","-4%","4%"
281,"Health Catalyst ","HCAT","8/8/2019","Buy","2.3%","-7.7%","-24.4%","-23%","-0.3%","-0.9%","2%","17%"
282,"Block ","SQ","8/9/2020","Positive Mention","-1.0%","4.7%","29.9%","74%","0.7%","-0.3%","2%","34%"
283,"Prudential ","PRU","28/4/2020","Negative Mention","1.6%","-16.1%","-3.6%","67%","0.6%","-3.1%","4%","46%"
284,"Boeing ","BA","3/6/2020","Buy","1.7%","-7.8%","2.0%","36%","0.1%","-3.5%","2%","38%"
285,"Wells Fargo ","WFC","16/4/2020","Sell","0.8%","-5.1%","-8.7%","60%","0.4%","-1.3%","3%","47%"
286,"Apple ","AAPL","31/1/2017","Buy","1.4%","2.6%","9.0%","32%","0.0%","0.7%","5%","26%"
287,"Caterpillar ","CAT","24/7/2017","Buy","1.1%","-1.3%","0.2%","25%","-0.1%","0.0%","-1%","17%"
288,"Nio ","NIO","7/12/2020","Negative Mention","-1.4%","-6.6%","16.6%","-25%","0.7%","-0.2%","3%","29%"
289,"Plug Power ","PLUG","6/12/2021","Positive Mention","2.2%","-16.1%","-30.8%","-62%","0.8%","-1.1%","0%","-15%"
290,"Cloudera ","CLDR","1/6/2020","Buy","-2.0%","6.8%","9.2%","41%","0.5%","4.1%","2%","39%"
291,"Chevron ","CVX","1/4/2020","Positive Mention","6.1%","10.8%","20.1%","45%","2.7%","10.5%","13%","64%"
292,"Horizon Pharmaceuticals ","HZNP","4/11/2016","Negative Mention","9.0%","19.2%","14.6%","-16%","2.2%","1.6%","4%","24%"
293,"SoFi Technologies ","SOFI","13/10/2021","Buy","-0.9%","7.0%","16.8%","-75%","0.8%","2.5%","6%","-18%"
294,"Apple ","AAPL","31/7/2018","Buy","1.2%","2.9%","13.4%","5%","-0.2%","1.6%","3%","7%"
295,"Upstart ","UPST","26/1/2022","Buy","-10.3%","8.7%","75.3%",,"-1.6%","3.6%","1%","0%"
296,"Yext ","YEXT","12/3/2020","Buy","7.5%","-18.9%","-8.1%","23%","2.4%","-14.5%","3%","50%"
297,"Stitch Fix ","SFIX","9/7/2018","Buy","1.3%","4.4%","-3.8%","-12%","0.2%","0.6%","2%","9%"
298,"Pacific Ethanol ","PEIX","19/11/2020","Sell","0.3%","13.4%","6.6%","-13%","-0.6%","2.3%","4%","33%"
299,"Crown Castle ","CCI","2/7/2020","Buy","-2.4%","-1.6%","-5.9%","18%","0.2%","0.2%","4%","39%"
300,"Inseego ","INSG","7/1/2021","Buy","3.3%","-6.4%","30.1%","-65%","0.2%","-1.5%","2%","24%"
301,"Lydall ","LDL","14/12/2020","Buy","7.0%","-8.7%","1.8%",,"0.6%","-0.2%","3%","29%"
302,"InMode ","INMD","19/3/2020","Buy","-7.5%","27.7%","42.0%","325%","-5.7%","10.8%","23%","74%"
303,"Rivian ","RIVN","11/11/2021","Buy","1.0%","-1.0%","-8.5%","-74%","0.5%","0.3%","0%","-14%"
304,"Bed Bath & Beyond ","BBBY","28/10/2020","Buy","-7.0%","4.7%","2.1%","-32%","0.9%","6.1%","10%","41%"
305,"Tilray ","TLRY","9/11/2018","Positive Mention","-0.5%","-5.9%","-14.4%","-81%","-1.7%","-1.3%","-3%","15%"
306,"Edwards Lifesciences ","EW","23/10/2019","Buy","-2.8%","4.2%","6.9%","5%","-0.2%","1.0%","4%","17%"
307,"Apple ","AAPL","30/4/2019","Buy","0.3%","-3.6%","-16.5%","41%","-1.0%","-1.5%","-6%","2%"
308,"DraftKings ","DKNG","4/11/2020","Buy","4.3%","-4.1%","11.4%","1%","0.3%","0.8%","5%","36%"
309,"Acacia Communications ","ACIA","26/7/2016","Positive Mention","4.0%","-6.0%","66.2%","-33%","-0.3%","-0.2%","0%","16%"
310,"Palo Alto Networks ","PANW","21/5/2020","Buy","-0.9%","-1.1%","-2.1%","53%","0.3%","3.0%","6%","44%"
311,"Virgin Galactic ","SPCE","15/6/2020","Sell","-4.2%","7.2%","37.3%","130%","-0.8%","0.2%","3%","37%"
312,"Tesla ","TSLA","21/10/2020","Buy","-3.6%","-3.5%","22.6%","114%","0.5%","-4.2%","4%","33%"
313,"Constellation Brands ","STZ","30/6/2020","Positive Mention","1.6%","-1.3%","-4.1%","27%","0.3%","1.8%","5%","41%"
314,"Chewy ","CHWY","8/1/2020","Buy","-1.6%","-0.5%","-4.7%","229%","0.2%","1.3%","2%","19%"
315,"Dexcom ","DXCM","29/7/2021","Buy","8.1%","0.2%","1.2%","-35%","0.1%","0.9%","3%","-5%"
316,"Tesla ","TSLA","14/4/2020","Buy","-1.6%","0.3%","9.5%","406%","0.1%","0.5%","3%","52%"
317,"Block ","SQ","1/3/2021","Buy","0.1%","-10.7%","-9.0%","-51%","-0.8%","0.2%","4%","15%"
318,"Whirlpool ","WHR","25/4/2022","Buy","0.1%","1.7%","-3.4%",,"-2.3%","0.1%","-3%","0%"
319,"Livongo Health ","LVGO","8/8/2019","Buy","8.2%","-2.1%","-37.5%","223%","-0.3%","-0.9%","2%","17%"
320,"Roblox ","RBLX","6/12/2021","Buy","-2.0%","-7.2%","-23.1%","-73%","0.8%","-1.1%","0%","-15%"
321,"Tesla ","TSLA","21/1/2020","Positive Mention","-0.4%","2.0%","58.2%","642%","-0.3%","-1.4%","1%","18%"
322,"Intel ","INTC","26/4/2018","Buy","-4.9%","0.7%","5.5%","-1%","-0.2%","-0.2%","1%","12%"
323,"MicroVision ","MVIS","26/4/2021","Positive Mention","-27.0%","-23.6%","-21.5%","-84%","-0.1%","-0.5%","0%","1%"
324,"Darden Restaurants ","DRI","27/3/2017","Buy","4.6%","1.6%","4.7%","5%","0.9%","0.1%","1%","13%"
325,"Golar LNG ","GLNG","2/11/2018","Sell","-2.8%","-5.3%","-5.5%","-49%","0.3%","-0.3%","2%","15%"
326,"Etsy ","ETSY","6/12/2021","Buy","1.0%","-8.3%","-17.1%","-45%","0.8%","-1.1%","0%","-15%"
327,"Marathon Oil ","MRO","1/4/2020","Sell","6.4%","18.7%","67.4%","225%","2.7%","10.5%","13%","64%"
328,"Western Digital ","WDC","25/3/2020","Buy","1.8%","-12.2%","-1.4%","54%","4.7%","-3.6%","10%","54%"
329,"ForeScout ","FSCT","13/4/2018","Buy","3.1%","-4.7%","-15.6%","12%","0.1%","-0.3%","2%","11%"
330,"Marvell Technology ","MRVL","3/4/2020","Buy","1.7%","2.8%","7.8%","115%","2.7%","4.1%","7%","56%"
331,"23andMe ","ME","19/10/2021","Buy","1.4%","21.6%","-2.3%","-72%","0.3%","0.3%","4%","-18%"
332,"Constellation Brands ","STZ","3/4/2020","Buy","3.0%","10.8%","15.6%","65%","2.7%","4.1%","7%","56%"
333,"Skyworks Solutions ","SWKS","4/5/2020","Buy","0.6%","3.3%","23.3%","68%","-0.2%","0.2%","9%","48%"
334,"Bristol-Myers Squibb ","BMY","3/11/2020","Buy","2.3%","-3.1%","-4.8%","-7%","0.8%","3.8%","8%","38%"
335,"Twilio ","TWLO","4/11/2016","Buy","-7.4%","2.9%","0.7%","-2%","2.2%","1.6%","4%","24%"
336,"Teva Pharmaceuticals ","TEVA","6/5/2016","Negative Mention","0.6%","-4.5%","4.1%","-40%","0.2%","0.4%","3%","19%"
337,"LivePerson ","LPSN","11/5/2020","Buy","0.1%","-1.6%","-9.9%","37%","-2.4%","1.8%","5%","44%"
338,"Dycom Industries ","DY","16/4/2020","Buy","5.1%","1.0%","10.9%","235%","0.4%","-1.3%","3%","47%"
339,"CareDX ","CDNA","10/7/2019","Positive Mention","-2.9%","-21.0%","-37.7%","-15%","0.0%","-0.2%","-4%","8%"
340,"Caterpillar ","CAT","9/3/2020","Negative Mention","-2.0%","-5.9%","17.4%","113%","1.3%","-12.4%","-3%","38%"
341,"Slack ","WORK","27/4/2020","Buy","-5.7%","1.5%","21.1%","59%","-1.8%","0.2%","6%","48%"
342,"SuperValu ","SVU","16/6/2017","Sell","-3.9%","-6.2%","1.2%","-9%","0.4%","-0.6%","0%","15%"
343,"Exact Sciences ","EXAS","8/1/2018","Buy","0.7%","0.9%","-15.1%","48%","0.1%","0.9%","-6%","-4%"
344,"United Continental ","UAL","23/11/2020","Buy","5.3%","0.8%","-3.8%","4%","0.8%","0.8%","2%","31%"
345,"Switch ","SWCH","24/2/2022","Buy","3.3%","5.3%","16.4%",,"1.9%","-1.3%","4%","0%"
346,"Alibaba ","BABA","15/5/2020","Negative Mention","1.3%","-6.3%","0.8%","-2%","0.7%","1.4%","4%","43%"
347,"Taiwan Semiconductor ","TSM","15/4/2020","Positive Mention","1.1%","0.5%","-1.0%","132%","0.0%","0.0%","6%","52%"
348,"Boeing ","BA","9/3/2020","Sell","-2.5%","-46.3%","-34.3%","6%","1.3%","-12.4%","-3%","38%"
349,"Thor Industries ","THO","7/6/2019","Negative Mention","-0.1%","-4.2%","-1.8%","99%","-0.1%","0.1%","3%","14%"
350,"Foot Locker ","FL","13/11/2020","Negative Mention","2.2%","-3.7%","3.2%","42%","0.4%","-1.4%","1%","31%"
351,"Moderna ","MRNA","21/5/2020","Positive Mention","-1.3%","-10.9%","-6.2%","138%","0.3%","3.0%","6%","44%"
352,"Ping Identity ","PING","19/5/2020","Buy","4.1%","-0.5%","20.9%","-10%","0.4%","2.2%","4%","42%"
353,"Shopify ","SHOP","28/2/2020","Buy","1.1%","-14.3%","-11.9%","168%","3.6%","-11.3%","-15%","28%"
354,"MGM Resorts ","MGM","19/5/2020","Negative Mention","4.4%","9.8%","10.4%","142%","0.4%","2.2%","4%","42%"
355,"GameStop ","GME","7/6/2021","Negative Mention","2.7%","-25.8%","-36.2%","-54%","-0.2%","0.5%","2%","-1%"
356,"Taiwan Semiconductor ","TSM","15/1/2021","Buy","0.5%","-0.6%","6.7%","4%","0.1%","1.5%","4%","22%"
357,"GoPro ","GPRO","16/9/2016","Positive Mention","-1.9%","10.5%","-8.1%","-27%","-0.3%","0.4%","0%","19%"
358,"Salesforce ","CRM","29/5/2018","Buy","-2.3%","4.8%","5.5%","20%","0.8%","1.8%","0%","4%"
359,"Advanced Micro Devices ","AMD","28/2/2020","Buy","0.1%","-8.8%","0.8%","82%","3.6%","-11.3%","-15%","28%"
360,"Palo Alto Networks ","PANW","13/11/2020","Buy","3.3%","6.3%","12.8%","86%","0.4%","-1.4%","1%","31%"
361,"ZScaler ","ZS","6/12/2021","Hold","4.1%","-4.5%","-12.6%","-62%","0.8%","-1.1%","0%","-15%"
362,"Doximity ","DOCS","6/12/2021","Buy","3.2%","-14.1%","-24.2%","-44%","0.8%","-1.1%","0%","-15%"
363,"Thor Industries ","THO","25/9/2020","Buy","-2.6%","9.1%","-6.9%","21%","0.3%","1.7%","2%","34%"
364,"Sorrento Therapeutics ","SRNE","8/6/2020","Buy","-3.0%","2.7%","62.5%","89%","0.2%","-2.4%","-2%","34%"
365,"Visa ","V","16/11/2018","Buy","-4.1%","0.9%","-2.5%","34%","-1.4%","-0.6%","-5%","18%"
366,"Shake Shack ","SHAK","6/12/2017","Sell","3.5%","-0.4%","-3.4%","6%","0.0%","0.6%","4%","2%"
367,"Zoom Video Communications ","ZM","19/3/2020","Buy","1.2%","16.2%","14.1%","152%","-5.7%","10.8%","23%","74%"
368,"Nextdoor 0ings ","KIND","3/2/2022","Buy","8.5%","22.4%","-9.1%",,"0.5%","-1.8%","-7%","0%"
369,"Alphabet ","GOOGL","27/4/2017","Buy","-0.5%","2.8%","7.7%","10%","-0.3%","0.7%","1%","13%"
370,"Twilio ","TWLO","6/12/2021","Buy","1.4%","-3.6%","-10.0%","-83%","0.8%","-1.1%","0%","-15%"
371,"Salesforce ","CRM","4/6/2019","Buy","0.8%","-4.5%","-2.4%","8%","0.2%","1.9%","6%","12%"
372,"Bed Bath & Beyond ","BBBY","21/4/2020","Negative Mention","-2.5%","43.3%","45.7%","474%","0.3%","5.1%","6%","50%"
373,"Turtle Beach ","HEAR","1/8/2018","Buy","6.0%","-5.1%","-23.9%","-67%","1.1%","0.9%","3%","6%"
374,"MicroVision ","MVIS","19/4/2021","Sell","-5.1%","94.1%","38.1%","-69%","-0.4%","1.3%","1%","9%"
375,"Boeing ","BA","7/4/2020","Buy","-0.4%","-0.6%","-9.1%","74%","2.3%","1.4%","7%","51%"
376,"MeetMe ","MEET","16/9/2016","Buy","-0.9%","2.3%","-2.8%","-31%","-0.3%","0.4%","0%","19%"
377,"Marriott International ","MAR","10/8/2020","Positive Mention","-4.1%","-2.6%","3.5%","42%","-1.2%","1.8%","0%","35%"
378,"Ralph Lauren ","RL","10/6/2016","Positive Mention","-1.4%","2.5%","2.9%","-24%","-0.4%","0.2%","3%","19%"
379,"Teladoc ","TDOC","25/3/2020","Buy","7.8%","-0.1%","22.2%","11%","4.7%","-3.6%","10%","54%"
380,"Zoom Video Communications ","ZM","28/2/2020","Buy","3.4%","0.6%","33.4%","262%","3.6%","-11.3%","-15%","28%"
381,"Alexandria Real Estate Eq ","ARE","6/4/2020","Buy","-3.6%","12.4%","9.6%","26%","-3.3%","7.0%","9%","56%"
382,"Rocket Companies ","RKT","6/11/2020","Positive Mention","-3.3%","5.6%","-8.2%","-18%","-2.6%","2.3%","4%","34%"
383,"Moderna ","MRNA","28/2/2020","Buy","10.7%","-18.7%","2.0%","427%","3.6%","-11.3%","-15%","28%"
384,"Plug Power ","PLUG","28/4/2021","Sell","-5.9%","-20.2%","9.3%","-26%","-0.1%","-0.2%","0%","-1%"
385,"Moderna ","MRNA","11/12/2020","Positive Mention","-5.1%","-10.8%","-24.4%","75%","-1.1%","1.3%","4%","30%"
386,"Apple ","AAPL","9/3/2020","Positive Mention","3.0%","-11.4%","-6.1%","69%","1.3%","-12.4%","-3%","38%"
387,"Stem ","STEM","9/8/2021","Buy","-2.5%","-20.0%","-18.1%","-47%","0.0%","0.3%","1%","-4%"
388,"Norwegian Cruise Line ","NCLH","30/4/2019","Buy","-1.2%","-1.1%","-5.7%","-72%","-1.0%","-1.5%","-6%","2%"
389,"Penn National Gaming ","PENN","19/1/2021","Buy","1.3%","-7.8%","13.6%","-60%","0.7%","-2.5%","2%","18%"
390,"Equinix ","EQIX","6/4/2020","Buy","-8.1%","10.5%","8.3%","11%","-3.3%","7.0%","9%","56%"
391,"Bed Bath & Beyond ","BBBY","9/1/2020","Buy","4.0%","5.7%","-1.8%","45%","-0.5%","1.9%","3%","18%"
392,"SoFi Technologies ","SOFI","19/1/2022","Buy","5.1%","-24.3%","-31.6%",,"-1.5%","-3.5%","-4%","0%"
393,"Masimo ","MASI","12/5/2017","Buy","-2.5%","-0.2%","3.5%","12%","0.3%","-0.3%","1%","16%"
394,"Zoom Video Communications ","ZM","18/2/2020","Buy","3.6%","2.8%","25.6%","302%","0.2%","-7.9%","-32%","18%"
395,"Apple ","AAPL","27/1/2022","Buy","2.8%","1.3%","-2.9%",,"2.1%","1.5%","-1%","0%"
396,"Clorox ","CLX","1/2/2019","Buy","1.6%","-1.8%","-0.3%","1%","0.7%","-0.5%","3%","21%"
397,"Porch ","PRCH","24/2/2021","Buy","-10.9%","-4.6%","-6.6%","-54%","-2.1%","-1.5%","4%","16%"
398,"QuantumScape ","QS","7/1/2021","Buy","-12.0%","-4.9%","-20.8%","-64%","0.2%","-1.5%","2%","24%"
399,"GW Pharmaceuticals ","GWPH","14/9/2020","Buy","-3.7%","-5.7%","-10.8%",,"-0.3%","-2.5%","3%","34%"
400,"Bed Bath & Beyond ","BBBY","3/11/2021","Buy","0.4%","14.4%","-7.9%","-80%","0.3%","-0.7%","-2%","-18%"
401,"United Natural Foods ","UNFI","27/3/2020","Buy","-2.9%","17.6%","39.4%","282%","2.3%","1.2%","10%","54%"
402,"Tesla ","TSLA","14/9/2020","Buy","3.0%","-5.7%","-0.2%","68%","-0.3%","-2.5%","3%","34%"
403,"McDonald's ","MCD","27/4/2018","Buy","1.7%","-1.5%","-4.1%","21%","-1.0%","0.9%","2%","13%"
404,"Vroom ","VRM","2/7/2020","Buy","-1.2%","-11.8%","6.4%","-25%","0.2%","0.2%","4%","39%"
405,"InMode ","INMD","27/4/2020","Negative Mention","-6.5%","11.1%","22.2%","280%","-1.8%","0.2%","6%","48%"
406,"Zoom Video Communications ","ZM","26/2/2021","Buy","5.4%","-24.1%","-24.7%","-68%","1.0%","-2.0%","2%","14%"
407,"Medtronic ","MDT","16/11/2018","Positive Mention","-3.9%","1.9%","1.6%","26%","-1.4%","-0.6%","-5%","18%"
408,"Athersys ","ATHX","19/5/2020","Buy","2.6%","-10.4%","-38.1%","-48%","0.4%","2.2%","4%","42%"
409,"Plug Power ","PLUG","19/2/2020","Negative Mention","-7.4%","-26.7%","-37.9%","914%","-0.2%","-11.7%","-33%","18%"
410,"Angi ","ANGI","2/7/2020","Buy","7.4%","8.7%","6.1%","-15%","0.2%","0.2%","4%","39%"
411,"InMode ","INMD","22/1/2020","Buy","3.6%","-6.4%","-27.8%","20%","0.3%","-1.2%","-3%","18%"
412,"Salesforce ","CRM","28/2/2018","Buy","-1.2%","5.8%","-3.5%","38%","-1.4%","2.4%","-3%","7%"
413,"Alibaba ","BABA","2/2/2021","Buy","-0.5%","1.7%","-11.2%","-53%","-0.2%","2.2%","0%","19%"
414,"Alphabet ","GOOGL","26/10/2017","Positive Mention","0.3%","1.6%","3.7%","0%","0.5%","0.3%","1%","4%"
415,"Schrodinger ","SDGR","28/2/2020","Buy","-7.2%","-16.8%","-5.7%","153%","3.6%","-11.3%","-15%","28%"
416,"Snap ","SNAP","3/3/2017","Positive Mention","-15.6%","-11.3%","-6.0%","-23%","0.1%","0.0%","-1%","17%"
417,"Caterpillar ","CAT","15/5/2020","Sell","2.5%","2.1%","7.5%","118%","0.7%","1.4%","4%","43%"
418,"Asana ","ASAN","28/9/2021","Buy","-2.9%","4.8%","31.6%","-78%","-0.2%","0.1%","6%","-15%"
419,"Everi ","EVRI","21/7/2020","Buy","4.8%","-7.5%","17.5%","254%","0.7%","-0.5%","4%","35%"
420,"DraftKings ","DKNG","6/12/2021","Positive Mention","-2.0%","-11.1%","-17.5%","-56%","0.8%","-1.1%","0%","-15%"
421,"Air Products and Chemical ","APD","6/11/2020","Positive Mention","-2.0%","-14.8%","-13.9%","2%","-2.6%","2.3%","4%","34%"
422,"Lemonade ","LMND","22/1/2021","Buy","-5.4%","-1.2%","-9.1%","-80%","0.2%","-2.1%","1%","16%"
423,"Nucor ","NUE","16/4/2020","Negative Mention","1.1%","1.4%","9.5%","120%","0.4%","-1.3%","3%","47%"
